rounds,global_mse,global_mae,global_r2,participating_clients,model_similarity,update_magnitude,client_similarity
1,779.5710379364764,21.256498,0.012573644518852234,4,0.9856352334221204,3.20615456905216,"[0.9876475589615958, 0.9888217747211456, 0.989695919411523, 0.9884591060025352]"
2,700.4535898517254,20.105865,0.10754938423633575,4,0.97783255896398,2.1229917807504535,"[0.9858858287334442, 0.9899189131600517, 0.9902450655187879, 0.9898136683872768]"
3,636.645436208059,18.911655,0.18499870598316193,4,0.9851548065032277,1.768926853314042,"[0.9901251026562282, 0.9927354412419456, 0.9915357828140259, 0.9929860149111066]"
4,610.8636570907922,18.089977,0.21956545114517212,4,0.9879746756383351,1.550934148952365,"[0.9932902881077358, 0.9919432657105582, 0.9924102510724749, 0.993680076939719]"
5,579.7446830623251,17.878487,0.25221095979213715,4,0.991143049938338,1.3483977355062962,"[0.9930854184286935, 0.9931805687291282, 0.994757741689682, 0.9950674303940364]"
6,574.409195743815,17.757938,0.25771352648735046,4,0.9923512605684144,1.1442607548087835,"[0.9939767803464618, 0.9935511861528669, 0.9946789954389844, 0.9957628207547324]"
7,555.8305762939628,17.585442,0.2810816317796707,4,0.9932224888886725,1.1243367195129395,"[0.9949836986405509, 0.9952345490455627, 0.9959657192230225, 0.9959972500801086]"
8,540.2499065124409,16.912409,0.3015245646238327,4,0.994149991444179,1.0074911154806614,"[0.9956043575491224, 0.994996190071106, 0.9952154372419629, 0.9966687602656228]"
9,543.4205602822511,16.927446,0.2957827299833298,4,0.9943194378699576,0.9958234075456858,"[0.9958409496716091, 0.9955057586942401, 0.9952672123908997, 0.9963246285915375]"
10,548.2160236030293,16.951872,0.2921402156352997,4,0.9952988890664918,0.9566505793482065,"[0.9964803074087415, 0.9959155789443425, 0.9966745121138436, 0.9970650928361076]"
11,545.3706428156754,16.983963,0.2956269532442093,4,0.9954556758914674,0.9316521855071187,"[0.9963411603655133, 0.9961892281259809, 0.9969321404184613, 0.9968087673187256]"
12,541.0066870263732,16.909082,0.299056738615036,4,0.9958847846303668,0.9134607184678316,"[0.9969098099640438, 0.9966050599302564, 0.9970741186823163, 0.9973962306976318]"
13,531.0905211609913,16.674076,0.3125617802143097,4,0.9955627747944423,0.9046198963187635,"[0.9969354867935181, 0.9959826426846641, 0.9967802464962006, 0.9968212842941284]"
14,545.1165326403027,16.873016,0.29335738718509674,4,0.9960246863109725,0.8758005928248167,"[0.9968656429222652, 0.9966205826827458, 0.9966128383363996, 0.9976925339017596]"
15,555.3706823263009,16.936045,0.284681499004364,4,0.9962740263768604,0.8603261234238744,"[0.9971592043127332, 0.997522554227284, 0.9969703853130341, 0.9972187791551862]"
