patch_status,patch_hotfixes_count,ports_count,services_total,services_running,services_stopped,firewall_domain,firewall_private,firewall_public,antivirus_count,antivirus_enabled,password_min_length,password_max_age,target_score,target_grade
up-to-date,4,0,98,88,10,ON,ON,OFF,1,1,12,90,60,Fair
up-to-date,3,3,30,10,20,ON,ON,OFF,1,1,12,90,50,Poor
up-to-date,3,4,98,83,15,ON,ON,ON,1,1,8,60,60,Fair
up-to-date,4,15,0,0,0,ON,ON,ON,1,1,1,42,60,Fair
out-of-date,3,0,30,17,13,ON,ON,ON,1,1,1,42,30,Critical Risk
up-to-date,0,2,30,17,13,ON,ON,ON,1,1,6,90,60,Fair
out-of-date,0,14,30,18,12,ON,ON,OFF,1,1,6,90,0,Critical Risk
up-to-date,2,4,0,0,0,ON,ON,ON,1,1,1,42,50,Poor
up-to-date,0,9,2,2,0,ON,ON,ON,1,0,8,60,10,Critical Risk
out-of-date,4,0,0,0,0,ON,ON,OFF,1,0,6,90,20,Critical Risk
up-to-date,3,14,2,2,0,OFF,OFF,OFF,1,1,12,90,0,Critical Risk
up-to-date,4,9,0,0,0,ON,ON,OFF,1,1,8,60,50,Poor
up-to-date,3,14,0,0,0,ON,ON,OFF,1,1,1,42,0,Critical Risk
up-to-date,3,14,98,88,10,ON,ON,OFF,1,1,1,42,0,Critical Risk
out-of-date,4,3,98,86,12,UNKNOWN,ON,ON,1,1,1,42,30,Critical Risk
up-to-date,0,2,30,16,14,OFF,OFF,OFF,1,1,1,42,30,Critical Risk
up-to-date,0,15,98,87,11,ON,ON,ON,1,1,6,90,60,Fair
out-of-date,4,15,0,0,0,UNKNOWN,ON,ON,1,1,8,60,40,Critical Risk
up-to-date,2,0,98,87,11,UNKNOWN,ON,ON,1,1,12,90,70,Fair
up-to-date,2,5,2,2,0,ON,ON,OFF,1,1,1,42,40,Poor
out-of-date,2,2,2,2,0,UNKNOWN,ON,ON,1,1,1,42,30,Critical Risk
up-to-date,4,15,30,21,9,ON,ON,OFF,1,1,8,60,50,Poor
up-to-date,0,2,0,0,0,ON,ON,OFF,1,0,12,90,60,Fair
up-to-date,0,14,0,0,0,UNKNOWN,ON,ON,1,0,12,90,30,Critical Risk
up-to-date,3,15,0,0,0,ON,ON,ON,1,1,12,90,70,Fair
up-to-date,0,0,0,0,0,ON,ON,ON,1,1,8,60,70,Fair
up-to-date,3,15,0,0,0,ON,ON,OFF,1,1,8,60,50,Poor
out-of-date,3,2,98,89,9,UNKNOWN,ON,ON,1,1,1,42,30,Critical Risk
up-to-date,3,9,30,14,16,ON,ON,ON,1,0,1,42,60,Fair
out-of-date,0,5,30,12,18,ON,ON,ON,1,1,12,90,40,Critical Risk
up-to-date,2,5,2,2,0,UNKNOWN,ON,ON,1,0,8,60,70,Fair
up-to-date,2,9,0,0,0,UNKNOWN,ON,ON,1,1,12,90,70,Fair
up-to-date,2,9,0,0,0,ON,ON,ON,1,0,1,42,0,Critical Risk
up-to-date,2,14,0,0,0,UNKNOWN,ON,ON,1,1,12,90,30,Critical Risk
up-to-date,2,5,30,14,16,UNKNOWN,ON,ON,1,1,1,42,60,Fair
out-of-date,0,0,2,2,0,UNKNOWN,ON,ON,1,0,8,60,40,Critical Risk
